date,side,px,qty,reason
2023-05-02,BUY,674.337,296,
2023-05-02,SELL,672.989,296,SL
2023-05-09,BUY,685.3425,291,
2023-05-09,SELL,683.9725000000001,291,SL
2023-06-07,BUY,679.3394999999999,294,
2023-06-07,SELL,677.9815,294,SL
2023-06-09,BUY,680.3399999999999,294,
2023-06-09,SELL,678.98,294,SL
2023-06-13,BUY,700.3499999999999,285,
2023-06-13,SELL,698.95,285,SL
2023-06-15,BUY,715.3575,279,
2023-06-15,SELL,713.9275,279,SL
2023-06-23,BUY,1243.6215,160,
2023-06-23,SELL,1241.1355,160,SL
2023-06-27,BUY,1199.5995,166,
2023-06-27,SELL,1197.2015000000001,166,SL
2023-06-29,BUY,1210.605,165,
2023-06-29,SELL,1208.1850000000002,165,SL
2023-08-21,BUY,1105.5525,180,
2023-08-21,SELL,1112.2890772500002,180,TP
2023-08-24,BUY,1237.6185,161,
2023-08-24,SELL,1245.15980865,161,TP
2023-08-28,BUY,1243.6215,160,
2023-08-28,SELL,1241.1355,160,SL
2023-09-11,BUY,1279.6395,156,
2023-09-11,SELL,1277.0815,156,SL
2023-12-04,BUY,1641.8204999999998,121,
2023-12-04,SELL,1638.5385,121,SL
2024-01-22,BUY,3341.6699999999996,59,
2024-01-22,SELL,3334.9900000000002,59,SL
2024-01-24,BUY,4202.099999999999,47,
2024-01-24,SELL,4193.7,47,SL
2024-03-11,BUY,6623.3099999999995,30,
2024-03-11,SELL,6616.6900000000005,30,REV
2024-04-22,BUY,6213.105,32,
2024-04-22,SELL,6200.685,32,SL
2024-09-26,BUY,4702.349999999999,42,
2024-09-26,SELL,4692.95,42,SL
2024-10-02,BUY,4402.2,45,
2024-10-02,SELL,4393.400000000001,45,SL
2024-10-29,BUY,4632.315,43,
2024-10-29,SELL,4623.055,43,SL
2024-11-01,BUY,4662.33,42,
2024-11-01,SELL,4690.739457000001,42,TP
2024-11-07,BUY,4977.487499999999,40,
2024-11-07,SELL,4967.5375,40,SL
2024-11-13,BUY,5282.639999999999,37,
2024-11-13,SELL,5272.08,37,SL
2025-01-08,BUY,4652.325,43,
2025-01-08,SELL,4643.025000000001,43,SL
2025-01-10,BUY,4542.2699999999995,44,
2025-01-10,SELL,4569.947882999999,44,TP
