date,side,px,qty
2023-05-18,BUY,1843.9215,108
2023-05-19,SELL,1808.0955000000001,108
2023-05-22,BUY,1839.9195,108
2023-05-24,SELL,1840.0795,108
2023-06-02,BUY,1883.4412499999999,106
2023-06-05,SELL,1927.53575,106
2023-06-07,BUY,1920.9599999999998,104
2023-06-08,SELL,1881.0590000000002,104
2023-06-14,BUY,1967.48325,101
2023-06-15,SELL,1907.54575,101
2023-06-16,BUY,1897.44825,105
2023-06-19,SELL,1888.5552500000001,105
2023-07-25,BUY,1844.42175,108
2023-07-28,SELL,1808.59525,108
2023-12-07,BUY,2154.5767499999997,92
2023-12-08,SELL,2155.42175,92
2024-01-24,BUY,2128.0634999999997,94
2024-01-25,SELL,2092.45325,94
2024-02-01,BUY,2109.054,94
2024-02-02,SELL,2232.8830000000003,94
2024-03-08,BUY,2435.2169999999996,82
2024-03-11,SELL,2429.7845,82
2024-03-13,BUY,2470.2345,81
2024-03-14,SELL,2423.28775,81
2024-03-18,BUY,2514.2565,79
2024-03-21,SELL,2568.715,79
2024-07-10,BUY,2659.3289999999997,75
2024-07-11,SELL,2666.16625,75
2024-07-17,BUY,2651.82525,75
2024-07-18,SELL,2638.6800000000003,75
2024-07-31,BUY,2733.86625,73
2024-08-01,SELL,2601.19875,73
2024-08-30,BUY,2678.83875,74
2024-09-02,SELL,2753.12275,74
2024-09-04,BUY,2770.8847499999997,72
2024-09-09,SELL,2814.592,72
2024-09-10,BUY,2789.394,71
2024-09-13,SELL,2862.0682500000003,71
2024-09-17,BUY,2932.96575,68
2024-09-18,SELL,2884.5570000000002,68
2024-09-20,BUY,2903.9512499999996,68
2024-09-24,SELL,2935.5315,68
2024-09-27,BUY,3025.5119999999997,66
2024-09-30,SELL,2934.03225,66
2024-10-02,BUY,2970.4845,67
2024-10-03,SELL,3006.496,67
2024-10-08,BUY,3083.5409999999997,64
2024-10-09,SELL,3150.424,64
2024-10-15,BUY,3135.567,63
2024-10-16,SELL,3098.4500000000003,63
2025-02-12,BUY,3023.511,66
2025-02-13,SELL,3107.4455000000003,66
2025-03-07,BUY,3113.556,64
2025-03-10,SELL,3030.4840000000004,64
2025-03-28,BUY,3124.5615,64
2025-03-31,SELL,2949.5245,64
2025-05-20,BUY,3243.6209999999996,61
2025-05-21,SELL,3197.4005,61
2025-06-02,BUY,3462.7304999999997,57
2025-06-03,SELL,3405.2965000000004,57
2025-06-10,BUY,3475.7369999999996,57
2025-06-11,SELL,3477.2605000000003,57
2025-06-13,BUY,3469.734,57
2025-06-16,SELL,3462.268,57
2025-07-30,BUY,3331.665,60
2025-07-31,SELL,3303.3475000000003,60
2025-08-01,BUY,3417.7079999999996,58
2025-08-04,SELL,3419.2895000000003,58
2025-08-05,BUY,3505.752,57
2025-08-06,SELL,3529.2345,57
2025-08-27,BUY,3593.796,55
2025-08-28,SELL,3488.255,55
2025-09-10,BUY,3739.8689999999997,53
2025-09-11,SELL,3773.1125,53
2025-09-12,BUY,3781.89,52
2025-09-16,SELL,3706.146,52
2025-09-17,BUY,3682.8405,54
2025-09-18,SELL,3690.154,54
2025-09-19,BUY,3666.8325,54
2025-09-22,SELL,3682.1580000000004,54
2025-10-07,BUY,3845.9219999999996,52
2025-10-09,SELL,3924.0370000000003,52
2025-10-14,BUY,3739.8689999999997,53
2025-10-15,SELL,3760.119,53
