code,ticker_code,name,market_product_category,source_date
1301,1301.T,極洋,プライム（内国株式）,2026-02-28
1332,1332.T,ニッスイ,プライム（内国株式）,2026-02-28
1333,1333.T,マルハニチロ,プライム（内国株式）,2026-02-28
1375,1375.T,ユキグニファクトリー,プライム（内国株式）,2026-02-28
1376,1376.T,カネコ種苗,スタンダード（内国株式）,2026-02-28
1377,1377.T,サカタのタネ,プライム（内国株式）,2026-02-28
1379,1379.T,ホクト,プライム（内国株式）,2026-02-28
1380,1380.T,秋川牧園,スタンダード（内国株式）,2026-02-28
1381,1381.T,アクシーズ,スタンダード（内国株式）,2026-02-28
1382,1382.T,ホーブ,スタンダード（内国株式）,2026-02-28
1383,1383.T,ベルグアース,スタンダード（内国株式）,2026-02-28
1384,1384.T,ホクリヨウ,スタンダード（内国株式）,2026-02-28
1407,1407.T,ウエストホールディングス,スタンダード（内国株式）,2026-02-28
1414,1414.T,ショーボンドホールディングス,プライム（内国株式）,2026-02-28
1417,1417.T,ミライト・ワン,プライム（内国株式）,2026-02-28
1418,1418.T,インターライフホールディングス,スタンダード（内国株式）,2026-02-28
1419,1419.T,タマホーム,プライム（内国株式）,2026-02-28
1420,1420.T,サンヨーホームズ,スタンダード（内国株式）,2026-02-28
1429,1429.T,日本アクア,プライム（内国株式）,2026-02-28
1430,1430.T,ファーストコーポレーション,スタンダード（内国株式）,2026-02-28
1433,1433.T,ベステラ,プライム（内国株式）,2026-02-28
1434,1434.T,JESCOホールディングス,スタンダード（内国株式）,2026-02-28
1435,1435.T,robot home,スタンダード（内国株式）,2026-02-28
1438,1438.T,岐阜造園,スタンダード（内国株式）,2026-02-28
1443,1443.T,技研ホールディングス,スタンダード（内国株式）,2026-02-28
1446,1446.T,キャンディル,スタンダード（内国株式）,2026-02-28
1450,1450.T,TANAKEN,スタンダード（内国株式）,2026-02-28
146A,146A.T,コロンビア・ワークス,スタンダード（内国株式）,2026-02-28
1491,1491.T,中外鉱業,スタンダード（内国株式）,2026-02-28
1514,1514.T,住石ホールディングス,スタンダード（内国株式）,2026-02-28
1515,1515.T,日鉄鉱業,プライム（内国株式）,2026-02-28
1518,1518.T,三井松島ホールディングス,プライム（内国株式）,2026-02-28
1605,1605.T,INPEX,プライム（内国株式）,2026-02-28
160A,160A.T,アズパートナーズ,スタンダード（内国株式）,2026-02-28
1662,1662.T,石油資源開発,プライム（内国株式）,2026-02-28
1663,1663.T,K&Oエナジーグループ,プライム（内国株式）,2026-02-28
167A,167A.T,リョーサン菱洋ホールディングス,プライム（内国株式）,2026-02-28
1711,1711.T,SDSホールディングス,スタンダード（内国株式）,2026-02-28
1716,1716.T,第一カッター興業,スタンダード（内国株式）,2026-02-28
1717,1717.T,明豊ファシリティワークス,スタンダード（内国株式）,2026-02-28
1718,1718.T,美樹工業,スタンダード（内国株式）,2026-02-28
1719,1719.T,安藤・間,プライム（内国株式）,2026-02-28
1720,1720.T,東急建設,プライム（内国株式）,2026-02-28
1721,1721.T,コムシスホールディングス,プライム（内国株式）,2026-02-28
1723,1723.T,日本電技,スタンダード（内国株式）,2026-02-28
1724,1724.T,シンクレイヤ,スタンダード（内国株式）,2026-02-28
1726,1726.T,ビーアールホールディングス,プライム（内国株式）,2026-02-28
1736,1736.T,オーテック,スタンダード（内国株式）,2026-02-28
1758,1758.T,太洋基礎工業,スタンダード（内国株式）,2026-02-28
1762,1762.T,高松コンストラクショングループ,プライム（内国株式）,2026-02-28
1764,1764.T,工藤建設,スタンダード（内国株式）,2026-02-28
1766,1766.T,東建コーポレーション,プライム（内国株式）,2026-02-28
1768,1768.T,ソネック,スタンダード（内国株式）,2026-02-28
1770,1770.T,藤田エンジニアリング,スタンダード（内国株式）,2026-02-28
1776,1776.T,三井住建道路,スタンダード（内国株式）,2026-02-28
1780,1780.T,ヤマウラ,プライム（内国株式）,2026-02-28
1783,1783.T,fantasista,スタンダード（内国株式）,2026-02-28
1786,1786.T,オリエンタル白石,プライム（内国株式）,2026-02-28
1787,1787.T,ナカボーテック,スタンダード（内国株式）,2026-02-28
1788,1788.T,三東工業社,スタンダード（内国株式）,2026-02-28
1793,1793.T,大本組,スタンダード（内国株式）,2026-02-28
1795,1795.T,マサル,スタンダード（内国株式）,2026-02-28
1798,1798.T,守谷商会,スタンダード（内国株式）,2026-02-28
1799,1799.T,第一建設工業,スタンダード（内国株式）,2026-02-28
1801,1801.T,大成建設,プライム（内国株式）,2026-02-28
1802,1802.T,大林組,プライム（内国株式）,2026-02-28
1803,1803.T,清水建設,プライム（内国株式）,2026-02-28
1807,1807.T,佐藤渡辺,スタンダード（内国株式）,2026-02-28
1808,1808.T,長谷工コーポレーション,プライム（内国株式）,2026-02-28
1810,1810.T,松井建設,スタンダード（内国株式）,2026-02-28
1811,1811.T,錢高組,スタンダード（内国株式）,2026-02-28
1812,1812.T,鹿島建設,プライム（内国株式）,2026-02-28
1813,1813.T,不動テトラ,プライム（内国株式）,2026-02-28
1814,1814.T,大末建設,プライム（内国株式）,2026-02-28
1815,1815.T,鉄建建設,プライム（内国株式）,2026-02-28
1820,1820.T,西松建設,プライム（内国株式）,2026-02-28
1822,1822.T,大豊建設,スタンダード（内国株式）,2026-02-28
1826,1826.T,佐田建設,スタンダード（内国株式）,2026-02-28
1827,1827.T,ナカノフドー建設,スタンダード（内国株式）,2026-02-28
1828,1828.T,田辺工業,スタンダード（内国株式）,2026-02-28
1833,1833.T,奥村組,プライム（内国株式）,2026-02-28
1835,1835.T,東鉄工業,プライム（内国株式）,2026-02-28
1840,1840.T,土屋ホールディングス,スタンダード（内国株式）,2026-02-28
1841,1841.T,サンユー建設,スタンダード（内国株式）,2026-02-28
1844,1844.T,大盛工業,スタンダード（内国株式）,2026-02-28
1847,1847.T,イチケン,スタンダード（内国株式）,2026-02-28
1848,1848.T,富士ピー・エス,スタンダード（内国株式）,2026-02-28
1850,1850.T,南海辰村建設,スタンダード（内国株式）,2026-02-28
1852,1852.T,淺沼組,プライム（内国株式）,2026-02-28
1853,1853.T,森組,スタンダード（内国株式）,2026-02-28
1860,1860.T,戸田建設,プライム（内国株式）,2026-02-28
1861,1861.T,熊谷組,プライム（内国株式）,2026-02-28
1866,1866.T,北野建設,スタンダード（内国株式）,2026-02-28
1867,1867.T,植木組,スタンダード（内国株式）,2026-02-28
1870,1870.T,矢作建設工業,プライム（内国株式）,2026-02-28
1871,1871.T,ピーエス・コンストラクション,プライム（内国株式）,2026-02-28
1873,1873.T,日本ハウスホールディングス,プライム（内国株式）,2026-02-28
1878,1878.T,大東建託,プライム（内国株式）,2026-02-28
1879,1879.T,新日本建設,プライム（内国株式）,2026-02-28
1882,1882.T,東亜道路工業,プライム（内国株式）,2026-02-28
1885,1885.T,東亜建設工業,プライム（内国株式）,2026-02-28
1887,1887.T,日本国土開発,プライム（内国株式）,2026-02-28
1888,1888.T,若築建設,プライム（内国株式）,2026-02-28
1893,1893.T,五洋建設,プライム（内国株式）,2026-02-28
1897,1897.T,金下建設,スタンダード（内国株式）,2026-02-28
1898,1898.T,世紀東急工業,プライム（内国株式）,2026-02-28
1899,1899.T,福田組,プライム（内国株式）,2026-02-28
1904,1904.T,大成温調,スタンダード（内国株式）,2026-02-28
1905,1905.T,テノックス,スタンダード（内国株式）,2026-02-28
1909,1909.T,日本ドライケミカル,スタンダード（内国株式）,2026-02-28
1911,1911.T,住友林業,プライム（内国株式）,2026-02-28
1914,1914.T,日本基礎技術,スタンダード（内国株式）,2026-02-28
1921,1921.T,巴コーポレーション,スタンダード（内国株式）,2026-02-28
1925,1925.T,大和ハウス工業,プライム（内国株式）,2026-02-28
1926,1926.T,ライト工業,プライム（内国株式）,2026-02-28
